#,Name,Team,Pos,Week of,Opp,$,$/G,G,GS,QS,W,L,SV,HLD,IP,H,ER,K,BB,HR,ERA,WHIP,R%,RazzID,NFBCID
1,Jacob deGrom,TEX,SP,4/17,@KC(MO) / OAK(SU),64.4,73.6,2.0,2,1.5,1.3,0.3,0.0,0.0,13.1,8.5,3.3,17.1,2.2,1.2,2.27,0.82,100,10954,8784
2,Shohei Ohtani,LAA,SP,4/17,@BOS(MO) / KC(SU),40.8,42.3,2.0,2,1.5,1.2,0.5,0.0,0.0,13.9,11.5,5.5,16.2,4.3,1.6,3.53,1.13,100,660271,98100
3,Corbin Burnes,MIL,SP,4/17,@SEA(MO) / BOS(SU),37.5,35.7,2.0,2,1.4,1.0,0.6,0.0,0.0,13.2,10.8,5.0,14.6,3.3,1.7,3.43,1.07,100,669203,9800
4,Zack Wheeler,PHI,SP,4/17,@CHW(MO) / COL(SA),36.5,33.4,2.0,2,1.4,1.0,0.6,0.0,0.0,12.7,10.4,4.5,12.4,2.7,1.4,3.19,1.02,100,10310,8235
5,Clayton Kershaw,LAD,SP,4/17,NYM(TU) / @CHC(SU),30.6,25.4,2.0,2,1.4,1.0,0.6,0.0,0.0,13.2,12.1,5.3,12.6,2.8,1.7,3.68,1.13,100,2036,7150
6,Lance Lynn,CHW,SP,4/17,PHI(MO) / @TB(SU),30.3,27.6,2.0,2,1.5,0.9,0.8,0.0,0.0,13.8,12.2,5.6,13.3,3.1,1.9,3.64,1.10,100,2520,7766
7,Kevin Gausman,TOR,SP,4/17,@HOU(MO) / @NYY(SU),30.0,24.9,2.0,2,1.5,1.0,0.7,0.0,0.0,13.8,12.9,6.1,14.3,3.1,2.2,3.97,1.16,100,14107,8427
8,Hunter Greene,CIN,SP,4/17,TB(MO) / @PIT(SA),29.5,24.5,2.0,2,1.2,0.8,0.6,0.0,0.0,11.9,8.8,4.7,14.3,4.6,1.7,3.56,1.12,100,668881,10216
9,Jesus Luzardo,MIA,SP,4/17,SF(MO) / @CLE(SU),26.5,20.2,2.0,2,1.4,0.9,0.7,0.0,0.0,12.9,11.1,5.3,13.0,4.2,1.5,3.68,1.19,100,666200,10235
10,Cristian Javier,HOU,SP,4/17,TOR(MO) / @ATL(SU),25.1,18.9,2.0,2,1.2,0.8,0.6,0.0,0.0,12.4,10.0,5.5,13.9,4.4,2.2,3.99,1.17,100,664299,10717
11,Nick Lodolo,CIN,SP,4/17,TB(TU) / @PIT(SU),24.0,15.2,2.0,2,1.3,0.9,0.7,0.0,0.0,13.0,11.4,5.6,13.0,4.5,1.4,3.86,1.23,100,666157,10964
12,Dustin May,LAD,SP,4/17,NYM(MO) / @CHC(SA),19.8,11.6,2.0,2,1.2,0.8,0.6,0.0,0.0,11.9,10.7,5.1,11.4,3.8,1.4,3.86,1.22,100,669160,10189
13,Sonny Gray,MIN,SP,4/17,@BOS(TU) / WSH(SU),16.6,4.8,2.0,2,1.1,0.8,0.7,0.0,0.0,12.0,11.4,5.4,11.0,3.7,1.3,4.06,1.26,100,12768,8546
14,Eduardo Rodriguez,DET,SP,4/17,CLE(MO) / @BAL(SU),14.6,1.2,2.0,2,1.2,0.7,0.8,0.0,0.0,12.0,11.3,5.1,9.5,3.4,1.2,3.82,1.23,72,13164,8632
15,Alex Cobb,SF,SP,4/17,@MIA(TU) / NYM(SU),14.5,1.4,2.0,2,1.0,0.7,0.6,0.0,0.0,11.0,10.9,4.6,9.8,3.0,0.8,3.80,1.26,100,6562,8058
16,Bailey Falter,PHI,SP,4/17,@CHW(TU) / COL(SU),13.5,1.3,2.0,2,1.0,0.7,0.7,0.0,0.0,11.4,11.0,5.3,8.9,2.4,2.0,4.14,1.16,15,663559,11171
17,Marcus Stroman,CHC,SP,4/17,@OAK(TU) / LAD(SU),12.5,-0.5,2.0,2,1.2,0.7,0.8,0.0,0.0,12.1,11.6,5.4,9.8,3.7,1.3,3.98,1.26,100,13431,8721
18,David Peterson,NYM,SP,4/17,@LAD(MO) / @SF(SA),12.1,-0.3,2.0,2,1.1,0.6,0.7,0.0,0.0,11.5,10.3,5.2,11.9,4.9,1.3,4.11,1.33,83,656849,10181
19,Jack Flaherty,STL,SP,4/17,ARI(MO) / @SEA(SU),11.2,-3.4,2.0,2,1.0,0.7,0.6,0.0,0.0,11.1,10.3,5.3,10.1,4.0,1.7,4.32,1.28,92,656427,9750
20,Hunter Gaddis,CLE,SP,4/17,@DET(MO) / MIA(SU),10.1,-2.7,2.0,2,0.9,0.5,0.6,0.0,0.0,10.5,9.4,4.7,9.2,3.2,1.5,4.04,1.19,10,683769,11528
21,Alex Wood,SF,SP,4/17,@MIA(MO) / NYM(SA),7.3,-9.7,2.0,2,0.8,0.5,0.7,0.0,0.0,10.2,10.2,4.6,8.7,2.7,1.0,4.11,1.26,44,13781,8506
22,Tylor Megill,NYM,SP,4/17,@LAD(TU) / @SF(SU),7.2,-7.0,2.0,2,1.0,0.5,0.8,0.0,0.0,11.1,10.4,5.4,10.7,4.0,1.7,4.39,1.29,99,656731,11227
23,Brayan Bello,BOS,SP,4/17,LAA(MO) / @MIL(SU),6.0,-10.6,2.0,2,0.8,0.5,0.7,0.0,0.0,10.3,9.8,4.9,10.7,4.3,1.0,4.23,1.37,36,678394,11362
24,Clarke Schmidt,NYY,SP,4/17,LAA(TU) / TOR(SU),3.6,-13.2,2.0,2,0.7,0.5,0.6,0.0,0.0,9.8,9.2,4.9,9.0,3.9,1.5,4.43,1.34,76,657376,10165
25,Merrill Kelly,ARI,SP,4/17,@STL(MO) / SD(SA),2.6,-14.0,2.0,2,0.9,0.5,0.7,0.0,0.0,10.9,10.8,5.4,8.7,3.8,1.5,4.42,1.34,99,518876,10506
26,Chris Flexen,SEA,SP,4/17,MIL(MO) / STL(SU),1.9,-14.1,2.0,2,0.9,0.5,0.7,0.0,0.0,11.0,11.0,5.7,8.5,3.4,2.0,4.60,1.32,4,623167,9502
27,Drey Jameson,ARI,SP,4/17,@STL(TU) / SD(SU),1.8,-15.8,2.0,2,0.9,0.6,0.7,0.0,0.0,11.0,11.2,5.6,8.6,4.1,1.3,4.52,1.40,78,686753,11403
28,Hayden Wesneski,CHC,SP,4/17,@OAK(MO) / LAD(SA),1.5,-15.5,2.0,2,0.9,0.5,0.8,0.0,0.0,10.8,10.5,5.4,8.5,4.1,1.5,4.47,1.34,96,669713,11411
29,Jared Shuster,ATL,SP,4/17,@SD(MO) / HOU(SU),-3.6,-24.3,2.0,2,0.7,0.5,0.6,0.0,0.0,10.0,10.4,5.3,7.1,3.9,1.6,4.78,1.42,15,694363,10849
